"DATA","CASA","ITEM","QUANTIDADE","VALOR","FORNECEDOR","OBS. DE ENTREGA (NÃO RECEBEMOS 11H30 AS 14H00)","STATUS","VALOR TOTAL","R$ FIXO","INFLAÇÃO","VOL. MAX","ID","MAXIMO"
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","MANTEIGA SEM SAL BLOCO 5KG","10,00","33,67","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","336,70","","","10","1055",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","QUEIJO BRIE QUATA","5,00","56,99","MULTIFOODS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","424,95","","","5","1056",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","QUEIJO GORGONZOLA QUATA","6,00","57,49","MULTIFOODS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","344,94","","","6","1057",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","QUEIJO MUSSARELA SCALA","12,00","47,37","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","568,44","","","12","1058",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","QUEIJO PARMESAO TIROLEZ KG","6,00","75,92","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","455,52","","","6","1059",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","REQUEIJAO BISNAGA SCALA 1,5","10,00","43,49","MULTIFOODS","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","434,90","","","10","1060",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","ACUCAR REFINADO","20,00","2,59","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","51,80","","","20","1061",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","ALCAPARRAS BALDE 2KG","2,00","77,87","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","155,74","","","2","1062",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","ARROZ ARBORIO CAMIL KG","10,00","14,42","KINGFOOD","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","144,20","","","10","1063",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","ARROZ TIPO1 5 KG CAMIL","25,00","4,29","DTK","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","107,25","","","25","1064",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","BATATA PALHA YOKI","10,00","8,25","MEGA G","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","82,50","","","10","1065",""
