"DATA","CASA","ITEM","QUANTIDADE","VALOR","FORNECEDOR","OBS. DE ENTREGA (NÃO RECEBEMOS 11H30 AS 14H00)","STATUS","VALOR TOTAL","R$ FIXO","INFLAÇÃO","VOL. MAX","ID","MAXIMO"
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","MASSA FOLHADA KG","2,00","35,40","AVELINOS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","70,80","","","2","1146",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","ACUCAR REFINADO","10,00","2,59","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","25,90","","","10","1147",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","ARROZ ARBORIO CAMIL KG","5,00","14,42","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","72,10","","","5","1148",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","ARROZ TIPO1 5 KG CAMIL","15,00","4,29","DTK","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","64,35","","","15","1149",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","CATCHUP HEINZ 397G","12,00","10,99","DTK","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","131,88","","","12","1150",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","FARINHA PANKO ALFA KG","5,00","16,32","DTK","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","81,60","","","5","1151",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","FEIJAO CARIOCA CAMIL 1KG","2,00","9,29","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","18,58","","","2","1152",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","MOLHO SHOYU SAKURA 1 L","2,00","15,60","AVELINOS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","31,20","","","2","1153",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","OLEO DE SOJA 900ML","10,00","6,98","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","69,80","","","10","1154",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","SAL REFINADO","6,00","2,21","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","13,26","","","6","1155",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","DOCE DE LEITE 400G LA SERENISSIMA","2,00","14,20","DTK","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","28,40","","","2","1156",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","LEITE CONDENSADO 2,6KG (MOÇA)","2,00","69,99","KINGFOOD","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","139,98","","","2","1157",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","OVOMALTINE FLOCOS","1,00","38,05","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","38,05","","","1","1158",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","PAO DE FORMA P FUNCIONARIOS","10,00","5,99","AVELINOS","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","59,90","","","10","1159",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","FILE SALMAO","10,00","70,69","MEGA G","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","706,90","","","10","1160",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","CANUDO EMBALADO","1,00","","DISTUDO","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","0,00","","","1","500",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","COPO DESCARTAVEL 300ML","1,00","","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","0,00","","","1","501",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","EMBALAGEM R-041 DIVISORIA BRANCA - REFLET","1,00","2,98","PLASTICOS SEGANTINI","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","2,98","","","1","502",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","AGUA SANITARIA 5L","4,00","12,90","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","51,60","","","4","503",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","ALCOOL GEL","2,00","9,00","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","18,00","","","2","504",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","BOMBRIL  LA DE ACO","3,00","2,50","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","7,50","","","3","505",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","LIMPA PEDRA","1,00","21,00","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","21,00","","","1","506",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","PAPEL HIGIENICO CAI CAI","1,00","200,71","Amade","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","200,71","","","1","507",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","PAPEL TOALHA ROLAO","3,00","102,48","Amade","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","307,44","","","3","508",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","SACO DE LIXO PRETO REFORÇADO 100L","2,00","39,90","SPEEDLOG","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","79,80","","","2","509",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","SACO DE LIXO VERDE REFORÇADO 100L","1,00","39,90","SPEEDLOG","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","39,90","","","1","510",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CANUDO EMBALADO","1,00","","DISTUDO","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","0,00","","","1","511",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","CANUDO MILKSHAKE","1,00","","DISTUDO","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","0,00","","","1","512",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","COPO DESCARTAVEL 50 ML","4,00","3,15","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","12,60","","","4","513",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","FITA FILME 40CM","1,00","83,80","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","83,80","","","1","514",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","GUARDANAPO 40X40","1.000,00","","SCALA","TERÇA E QUARTA DAS 7H30 AS 11H30","","0,00","","","1000","515",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","PAPEL ALUMINIO","1,00","60,00","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","60,00","","","1","516",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO VACUO 25X30","1,00","537,00","Tecmaq","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","537,00","","","1","517",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","VELA FAISCA","50,00","","MERCADO LIVRE","TERÇA E QUARTA DAS 7H30 AS 11H30","","0,00","","","50","518",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO VACUO 15X20","1,00","217,00","Tecmaq","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","217,00","","","1","519",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","BOM AR SPRAY","1,00","10,90","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","10,90","","","1","520",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","PAPEL TOALHA INTERFOLHADO","1,00","191,61","Amade","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","191,61","","","1","521",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","REFIL P/ ASSENTO SANITARIO","6,00","14,90","Amade","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","89,40","","","6","522",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ALCOOL 70% L","12,00","7,20","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","86,40","","","12","523",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","DESINFETANTE COALA","3,00","15,00","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","45,00","","","3","524",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ESPONJA DUPLA FACE","10,00","0,65","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","6,50","","","10","525",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","ESPONJA FIBRAÇO","10,00","1,60","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","16,00","","","10","526",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","LUVA (LÁTEX - PROCEDIMENTO)","1,00","30,20","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","30,20","","","1","527",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","PAPEL TOALHA ROLAO","1,00","256,00","Amade","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","256,00","","","1","528",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SABAO DAYMON - MASTER DISH 5LT","1,00","167,08","Daymon","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","167,08","","","1","529",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO DE LIXO PRETO REFORÇADO 100L","1,00","39,90","SPEEDLOG","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","39,90","","","1","530",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO DE LIXO PRETO REFORÇADO 200L","1,00","71,90","SPEEDLOG","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","71,90","","","1","531",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO DE LIXO VERDE REFORÇADO 100L","1,00","39,90","SPEEDLOG","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","39,90","","","1","532",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO DE LIXO VERDE REFORÇADO 60L","1,00","18,90","SPEEDLOG","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","18,90","","","1","533",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SPAR CLEAN DESINFETANTE EUCALIPTO 5L","4,00","","SPAR CLEAN","TERÇA E QUARTA DAS 7H30 AS 11H30","ENVIADO","0,00","","","4","534",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","STONE DET - DAYMON","1,00","356,44","Daymon","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","356,44","","","1","535",""
"27/07","MF - BETSY CNPJ: 43.672.862/0001-73 ","SACO PARA CONFEITAR 50x38cm GG","1,00","69,90","Quality","TERÇA E QUARTA DAS 7H30 AS 11H30","CONFIRMADO","69,90","","","1","536",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","ALCOOL 70% L","18,00","7,20","Quality","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","129,60","","","18","537",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","ESPONJA FIBRAÇO","13,00","1,60","Quality","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","20,80","","","13","538",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","SACO DE LIXO VERDE REFORÇADO 200L","2,00","71,90","SPEEDLOG","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","143,80","","","2","539",""
"27/07","VMB - OLIVIO CNPJ: 27.350.242/0001-61","STONE DET - DAYMON","1,00","356,44","Daymon","TERÇA A SEXTA DAS 10H00 AS 17H","CONFIRMADO","356,44","","","1","540",""
"27/07","JT - FORTUNATO CNPJ: 54.572.897/0001-57 ","SACO/PANO ALVEJADO","30,00","2,70","Quality","TERÇA A SEXTA DAS 8H30 AS 16H","CONFIRMADO","81,00","","","30","541",""
